,trial_id,correlation,time,animal_id
0,11134,0.5673857251108931,1684225844.217769,PV91
1,11136,0.69817001102459,1684225894.316987,PV91
2,11138,0.3452174621584504,1684225964.799218,PV91
3,11139,0.6488554103560384,1684226006.865228,PV91
4,11140,0.7035144047847911,1684226052.881176,PV91
6,11148,0.7851250325086955,1684229445.344834,PV91
7,11149,0.6487684035999915,1684229482.244258,PV91
8,11150,0.7650127541152653,1684229509.010507,PV91
9,11151,0.4234362748357131,1684229543.059974,PV91
5,11147,0.7535901733833593,1684229625.008694,PV91
10,11152,0.646734892989051,1684229659.39149,PV91
11,11156,0.5632075060774211,1684240736.754339,PV91
12,11163,0.27989727885339916,1684240899.06847,PV91
13,11165,0.36737070741440736,1684247459.732624,PV91
14,11167,0.5884719289303301,1684247509.33185,PV91
15,11169,0.26951763093915915,1684247563.86433,PV91
16,11171,0.06764541868570238,1684247652.929606,PV91
17,11174,0.7231152871712574,1684254700.26949,PV91
18,11175,0.45288906394190637,1684254727.069071,PV91
19,11176,0.6749239747443633,1684254777.201621,PV91
20,11180,0.20113867001039062,1684261911.723475,PV91
21,11181,0.49730528353907766,1684261936.673086,PV91
22,11182,0.7133323222319053,1684261963.156005,PV91
23,11183,0.858588311474375,1684261994.038856,PV91
24,11184,0.5839039852279556,1684262035.688206,PV91
25,11185,0.6346655931708028,1684262070.154333,PV91
26,11266,0.8620463676872712,1684319189.920562,PV91
27,11268,0.8279190643824803,1684319237.60315,PV91
28,11271,0.33273777968511487,1684319315.318602,PV91
29,11272,0.7055318834242866,1684319362.667863,PV91
30,15241,0.9023419141640671,1687091496.303875,PV91
31,15243,0.6770770410084059,1687091560.169543,PV91
32,15252,0.5658874526155495,1687095095.01431,PV91
33,15254,0.6346498642523013,1687095157.679998,PV91
34,15255,0.6821496190023228,1687095193.879432,PV91
35,15256,0.4900628500400914,1687095229.962202,PV91
37,15266,0.818826236823433,1687098671.95842,PV91
36,15264,0.8050947237146187,1687098706.941206,PV91
38,15268,0.5650216893470943,1687098772.22352,PV91
39,15269,0.6804025778428996,1687098807.489636,PV91
40,15272,0.6201807813791427,1687098917.487916,PV91
41,15273,0.5279853319497305,1687098969.870432,PV91
0,26763,0.796150212300927,1704637891.969785,PV163
1,26764,0.6474382242630228,1704637941.869004,PV163
2,26765,0.8895339604777893,1704637994.301519,PV163
3,26766,0.8748002021230382,1704638037.450844,PV163
4,26767,0.8825532284773134,1704638098.41656,PV163
5,26770,0.9085220057129415,1704638201.78161,PV163
6,26772,0.8462257938599078,1704638305.329992,PV163
7,26775,0.8526240368224883,1704641545.162703,PV163
8,26776,0.33758942407664805,1704641607.111735,PV163
9,26777,0.6819836172291401,1704641638.227915,PV163
10,26779,0.8918723363073634,1704641698.026981,PV163
11,26780,0.6027335893496742,1704641749.142848,PV163
12,26782,0.7049050961380605,1704641833.424865,PV163
13,26784,0.5453430882108082,1704645141.823171,PV163
14,26786,0.5997011899765146,1704645246.604867,PV163
15,26787,0.7124602501507026,1704645288.23755,PV163
16,26788,0.28952654853614956,1704645338.853425,PV163
17,26789,0.27021608092882443,1704645391.285939,PV163
18,26816,0.5272286794890471,1704710000.79068,PV163
19,26820,0.6257657377776052,1704710158.454883,PV163
20,26821,0.49491679077782874,1704710210.837397,PV163
21,26825,0.7242959710329553,1704713545.335295,PV163
22,26857,0.2693844035583226,1704724458.431443,PV163
23,26872,-0.4447900053836933,1704728263.988646,PV163
0,19870,0.7096044298680346,1689618687.838736,PV99
1,19872,0.20063199823459513,1689618784.553891,PV99
9,20019,0.6812054383657452,1689669092.730542,PV99
6,19980,0.2836818665608163,1689669156.462879,PV99
7,19984,0.7086178249061845,1689669352.459818,PV99
8,19993,0.11156541215396146,1689672822.088936,PV99
10,20044,0.6514807202250241,1689690635.143936,PV99
11,20047,-0.05254540932514236,1689690740.292293,PV99
12,20051,0.38826232238284203,1689691002.621527,PV99
2,19967,0.7374629437601133,1689705233.621545,PV99
3,19968,0.7482212699552557,1689705266.837692,PV99
4,19969,-0.361931980437595,1689705300.120506,PV99
5,19970,0.3222173576290495,1689705333.919978,PV99
13,20085,0.15006380269906758,1689759365.596842,PV99
15,20092,0.7482422483644159,1689762679.295064,PV99
16,20100,0.09990877224543805,1689762714.311184,PV99
17,20101,0.3209300622344515,1689762766.710365,PV99
18,20131,-0.2187145810940764,1689770135.995218,PV99
19,20141,0.5312886542830211,1689773558.758404,PV99
20,20154,0.8016419016847915,1689777079.436726,PV99
21,20156,0.8843030108644717,1689777169.10199,PV99
14,20089,0.8723016673382703,1689784278.857566,PV99
0,19870,0.7096044298680346,1689618687.838736,PV80
4,20019,0.6812054383657452,1689669092.730542,PV80
3,19993,0.11156541215396146,1689672822.088936,PV80
5,20044,0.6514807202250241,1689690635.143936,PV80
1,19967,0.7374629437601133,1689705233.621545,PV80
2,19968,0.7482212699552557,1689705266.837692,PV80
7,20092,0.7482422483644159,1689762679.295064,PV80
8,20101,0.3209300622344515,1689762766.710365,PV80
6,20089,0.8723016673382703,1689784278.857566,PV80
0,19870,0.7096044298680346,1689618687.838736,PV42
2,20019,0.6812054383657452,1689669092.730542,PV42
3,20051,0.38826232238284203,1689691002.621527,PV42
1,19969,-0.361931980437595,1689705300.120506,PV42
4,20101,0.3209300622344515,1689762766.710365,PV42
5,20131,-0.2187145810940764,1689770135.995218,PV42
6,20156,0.8843030108644717,1689777169.10199,PV42
